Name,MW,Volume,SA,%_hydro,log_P,HLB,H_acc,H_donor,H_3d,CNS+/-
dihydromorphine,287.358,160.161,18.96,30.9431,0.5352,8.6356,0.8768,0.50724,12.6188,1
diphenhydramine,255.359,192.981,25.18,18.9023,2.395,5.2512,0.4993,0.31519,10.4002,1
diphenhylhydantoin,252.272,151.169,18.25,37.4159,1.975,9.6787,0.9416,0.57122,10.4501,1
dixyrazine,427.604,257.195,32.15,46.6422,3.9554,9.3193,0.6556,0.27144,9.54018,1
DMT,188.272,131.072,16.73,20.0287,1.675,6.8036,0.349,0.28493,6.93268,1
doxepin,279.381,164.651,19.89,13.9193,3.507,4.7275,0.2354,0.04452,7.18404,1
doxylaminesuccinate,388.463,62.2583,9.077,100,-1.162,20,1.0968,0.54613,14.2901,1
droperidol,379.433,203.616,24.5,35.5821,2.197,10.392,0.8341,0.30807,8.15658,1
ectylurea,156.184,105.965,15.39,52.6818,-1.322,12.686,1.2711,0.79014,12.8509,1
emylcamate,145.201,95.4426,13.74,33.029,1.681,9.9232,0.8529,0.52306,9.3318,1
estazolam,294.743,159.59,18.44,48.2643,2.7737,11.303,0.2812,0.06794,7.95567,1
etaqualone,264.326,149.514,17.78,19.7002,2.8803,6.9654,0.3903,0.0446,6.24421,1
etazolate,289.336,170.358,22.16,61.6652,1.0123,15.843,0.9276,0.32207,7.71333,1
ethchlorvynol,144.601,103.093,15.13,49.6211,0.261,12.379,0.3765,0.50471,13.6983,1
ethinamate,260.333,156.239,22.09,49.5004,1.757,13.225,1.4394,0.76783,9.84144,1
ethosuximide,141.169,87.6587,11.99,52.4714,-0.025,13.753,0.7122,0.26296,10.9839,1
etymemazine,326.499,261.86,35.25,13.113,4.6053,3.9231,0.1071,0.0372,5.51404,1
flupentixol,434.519,227.108,27.62,38.8096,5.2996,6.4987,0.7018,0.26429,11.2269,1
fluphenazine,437.522,267.313,34.12,37.1967,4.375,7.0943,0.6896,0.26463,11.2734,1
flurazepam,387.884,250.781,32.33,46.6485,3.6849,11.324,0.5207,0.0451,8.20493,1
glaziovine,297.353,164.047,19.92,30.5935,1.296,8.2775,0.8087,0.29459,12.4982,1
glutethimide,217.267,163.989,22.19,34.0599,2.053,8.7503,0.7052,0.29167,9.22464,1
haloperidol,375.87,270.545,36.28,31.0324,3.494,8.2226,0.7581,0.3102,9.98504,1
harmalol,200.24,109.031,12.82,26.8718,1.6254,6.9967,0.8672,0.54452,14.3915,1
harman,182.224,99.3402,11.15,7.30304,2.252,3.0746,0.4269,0.30308,6.66988,1
heroin,369.416,205.587,25,42.5371,0.8096,11.647,0.8267,0.0118,13.9433,1
hexapropymate,181.234,140.304,20.08,32.9202,1.586,7.9503,0.9061,0.59818,10.0079,1
homophenazine,451.549,277.833,35.55,33.2463,4.5454,6.7847,0.692,0.26463,12.1826,1
hydrocodone,299.369,179.654,21.61,32.495,-0.0194,9.7593,0.5889,0.01048,9.93584,1
hydroxyphenamate,209.244,152.052,21,44.5235,1.1696,9.8523,1.2594,0.81031,13.0764,1
hydroxyzine,374.909,227.157,28.71,60.1868,4.305,12.414,0.6705,0.2799,9.4921,1
imiclozapine,486.074,291.413,36.42,59.6982,4.4926,12.211,0.5645,0.04399,8.82098,1
imipramine,280.412,227.275,30.04,14.1515,3.853,4.568,0.1084,0.04291,6.60928,1
isopromethazine,284.418,230.497,31.09,23.0597,3.3967,5.5608,0.1066,0.04485,7.24286,1
ketamine,237.729,156.113,20.39,46.4298,2.4678,10.899,0.6322,0.25462,4.2637,1
kynurenicacid,189.17,95.6217,11.46,62.6617,0.939,13.224,1.0214,0.5761,16.1781,1
lenperone,371.426,202.214,24.89,18.4245,3.371,5.711,0.5788,0.0465,6.53951,1
levorphanol,257.375,205.009,27.42,16.8759,3.769,4.2767,0.4376,0.28613,11.077,1
lidocaine,234.341,158.423,21.16,27.3174,2.9087,8.1147,0.6069,0.27629,8.56035,1
lorazepam,321.162,160.445,19.2,65.7033,2.9545,15.073,1.0313,0.57608,13.3371,1
lorcainide,370.921,210.522,26.06,19.6138,4.084,7.5229,0.3316,0.05474,6.88609,1
meclofenoxate,257.716,138.598,18.22,71.3573,1.8912,17.354,0.494,0.02832,5.94603,1
mecloqualone,270.718,138.826,16.24,37.4893,2.4953,11.195,0.3902,0.04858,6.54733,1
medazepam,270.761,167.524,20.49,27.7755,4.3124,8.2368,0.3425,0.04925,8.03051,1
meprobamate,218.252,125.619,17.92,61.4513,0.283,14.674,1.6926,1.04613,12.3139,1
mepyramine,285.388,179.772,22.99,35.9972,2.6689,10.941,0.3829,0.05861,9.77709,1
mescaline,181.234,107.217,14.08,41.0439,0.881,11.927,0.6999,0.37737,10.2346,1
mesoridazine,386.569,279.941,36.97,14.6678,3.0103,4.5574,0.5847,0.08202,7.56684,1
methamphetamine,149.235,96.1664,12.51,24.7682,1.888,4.0271,0.2926,0.19734,4.13086,1
methaqualone,250.299,139.651,16.45,21.2949,2.3513,7.3557,0.3903,0.04464,6.48041,1
methocarbamol,241.243,129.589,17.15,68.4088,-0.3602,15.432,1.375,0.77272,14.8402,1
methopromazine,430.518,65.8211,9.659,100,-0.886,20,1.0444,0.56601,15.7038,1
methotrimeprazine,328.471,272.477,37.89,22.7892,3.3463,6.3364,0.2057,0.03949,7.05142,1
methylpentynol,98.1444,65.146,9.561,14.705,0.123,3.4658,0.4475,0.45425,14.053,1
methylphenidate,233.31,156.825,20.46,42.3279,1.581,9.6102,0.5884,0.19723,6.86468,1
methyprylon,183.25,119.109,16.28,40.6042,-0.718,11.905,0.8218,0.24308,5.38228,1
midazolammaleate,441.845,58.6805,8.522,100,-0.886,20,1.0444,0.56601,15.7038,1
moperone,355.451,275.474,37.27,22.3986,3.43,6.0243,0.7581,0.30299,9.91125,1
morphine,287.358,160.161,18.96,30.9431,0.5352,8.6356,0.8768,0.50724,12.6188,1
MPTP,173.257,107.589,13.37,14.7393,2.785,5.7763,0.1341,0.02881,6.56756,1
naloxone,327.379,201.168,24.79,46.9643,-1.6421,13.755,1.2768,0.52363,15.431,1
nicotine,162.234,101.521,12.77,26.2634,1.473,9.3762,0.2873,0.04545,7.28322,1
nitrazepam,281.27,157.342,19.06,48.4895,1.9003,10.886,0.9893,0.30819,10.2049,1
nordazepam,270.718,145.246,17.19,50.7234,2.8703,11.418,0.6704,0.31137,9.86222,1
nortriptyline,263.382,161.454,19.41,18.7092,4.475,3.1939,0.3202,0.21399,4.58309,1
orphenadrine,269.386,199.61,25.97,24.5862,3.7506,6.094,0.2514,0.04726,5.8184,1
oxaflumazine,625.702,60.3941,8.791,100,-1.162,20,1.0968,0.54613,14.2901,1
oxazepam,286.717,150.951,18,55.2121,2.2415,12.735,1.0313,0.57813,13.7901,1
oxiperomide,337.421,187.493,22.46,43.1283,3.0476,12.577,0.6579,0.31122,7.89392,1
oxycodone,315.368,195.3,24.12,50.8671,-1.5701,14.977,0.9242,0.2365,13.7278,1
oxymorphone,301.341,184.139,22.56,53.6107,-2.1561,14.944,1.1672,0.50703,16.1407,1
paracetamol,151.165,83.0793,10.72,49.5386,0.494,12.71,0.8284,0.55476,15.379,1
pecazine,310.456,254.964,34.54,11.5856,4.1623,3.3521,0.11,0.0448,5.93168,1
pemoline,176.174,92.6105,11.38,54.6107,-1.0854,12.61,1.1665,0.80916,12.4517,1
pentazocine,285.428,193.357,24.64,9.64329,4.837,3.0148,0.4924,0.2867,10.0761,1
pentobarbital,226.275,163.529,23.58,46.8634,2.062,11.143,1.1388,0.53444,9.90168,1
pergolide,410.589,51.948,8.152,100,-1.234,20,0.5652,0.49024,12.2374,1
perlapine,291.395,185.583,22.41,41.0578,3.759,9.2081,0.3338,0.0453,8.04815,1
perphenazine-HCl,403.969,253.486,32.04,51.0623,4.205,10.628,0.5335,0.27047,10.3598,1
pethidine,247.336,179.864,24.09,33.7433,2.767,9.7104,0.3955,0.02541,6.86405,1
phencyclidine,243.391,153.121,19.07,0.67309,5.68,1.151,0.1437,0.02702,4.81765,1
phenelzinesulfate,234.27,36.1536,5.508,100,-1.23,20,0.4003,0.7762,14.7768,1
phenobarbital,232.238,123.282,15.47,44.5549,-0.158,11.891,0.9056,0.295,9.24007,1
phenprobamate,179.218,134.638,18.58,38.3615,1.922,8.2647,0.8461,0.54947,9.38845,1
phenytoin,252.272,151.169,18.25,37.4159,1.975,9.6787,0.9416,0.57122,10.4501,1
physostigmine,275.35,188.546,24.69,55.9847,2.2267,12.868,0.7265,0.26351,10.0907,1
piflutixol,451.521,232.483,28.25,5.4911,5.843,1.3737,0.6146,0.25976,10.7778,1
pimozide,461.553,251.433,29.84,19.624,6.191,6.7651,0.5599,0.32795,7.19875,1
pinoxepin,398.932,243.458,30.29,53.7794,4.3636,11.464,0.639,0.26992,10.7227,1
pipamperone,375.485,274.46,37.71,49.4381,2.0657,10.877,1.2832,0.54071,10.1961,1
prazepam,324.809,212.776,26.39,39.1636,3.6669,9.4546,0.4248,0.04983,7.6124,1
pregnanolone,318.498,209.197,26.6,9.95329,4.721,2.0726,0.5329,0.22565,8.93537,1
primidone,218.255,119.763,15.28,42.3905,-0.616,10.271,1.0721,0.51986,10.6684,1
procaine,236.313,139.987,18.5,43.4299,1.492,11.69,0.9641,0.53142,8.12057,1
procyclidine,287.444,187.197,23.71,14.4465,4.351,4.665,0.5176,0.28635,9.75009,1
promazine,284.418,216.969,28.5,14.8042,3.0283,4.5036,0.1068,0.0448,6.05603,1
promethazine-HCl,284.418,230.497,31.09,23.0597,3.3967,5.5608,0.1066,0.04485,7.24286,1
propiomazine,340.482,247.903,32.4,23.7624,3.5847,6.2312,0.3474,0.03941,6.93135,1
propofol,178.274,116.336,15.21,9.03332,4.889,1.908,0.3458,0.28513,10.2098,1
protriptyline,263.382,158.974,19.07,18.8672,4.475,3.1939,0.2918,0.22597,4.54289,1
pyridazinone,96.0884,50.4336,6.528,96.6904,-1.0223,19.79,0.3505,0.30636,18.5579,1
quazepam,386.794,228.69,29.49,39.3772,3.8889,8.7701,0.5309,0.0451,10.2628,1
rescinnamine,634.725,371.09,46.39,50.1884,2.6512,13.211,1.5113,0.29714,10.5466,1
reserpine,608.687,353.556,44.07,53.1579,2.4472,13.843,1.5121,0.28373,10.7812,1
secobarbital,238.286,176.646,25.53,43.4828,2.047,10.581,1.2319,0.54742,10.1464,1
spiclomazine,446.024,274.397,34.35,48.0574,2.7829,11.331,0.7356,0.29261,8.12072,1
tacrine,198.267,112.643,13.13,15.9304,2.194,3.0292,0.7586,0.53184,8.97614,1
temazepam,300.744,174.32,21.39,52.4673,2.3051,12.873,0.7862,0.31592,12.2162,1
tetrabenzine,317.427,190.534,24.08,29.121,2.309,10.718,0.5279,0.01022,8.51075,1
thc,314.467,192.345,24.23,9.59071,7.363,2.8631,0.4991,0.28011,9.37395,1
thebaine,311.38,184.428,22.22,34.534,1.2244,10.926,0.4588,0.02081,13.6424,1
thiethylperazine,515.684,58.3352,8.47,100,-0.886,20,1.0444,0.56601,15.7038,1
thioridazine,370.57,271.972,35.73,7.03598,5.1603,2.1601,0.1325,0.03904,5.64073,1
thiothixene,443.621,248.61,30.59,52.6173,4.9813,10.833,0.6549,0.04203,9.64377,1
tranylcypromine,133.193,86.6879,10.64,19.5667,1.468,4.2095,0.5816,0.4595,6.73272,1
trazodone,371.869,201.11,24.49,57.8872,4.7223,15.257,0.5787,0.05406,8.53395,1
trifluperidol,409.423,292.255,39.93,20.9061,3.664,5.2302,0.9138,0.30407,10.8759,1
triflupromazine,352.417,246.146,32.88,12.8346,3.9113,3.6346,0.2625,0.03814,6.53479,1
trifluroperazine,407.496,250.872,31.82,28.3067,5.2447,5.995,0.3576,0.03814,7.59384,1
trihexyphenidyl,301.471,198.789,25.31,9.24874,4.91,2.8543,0.5184,0.28635,9.43299,1
trimetozine,281.308,161.476,20.96,80.2022,-1.2456,19.355,0.7119,0.01126,10.8836,1
trimipramine,294.439,227.348,29.51,12.8434,4.252,4.3504,0.1087,0.04291,6.44024,1
tybamate,274.359,164.732,23.23,49.7897,2.416,12.622,1.4372,0.76845,9.49963,1
uridine,244.204,134.605,17.77,100,-1.5786,20,1.8322,0.96965,17.3567,1
valproicacid,144.213,89.6601,12.76,22.3394,2.81,6.2432,0.5501,0.27299,8.70361,1
zimelidine,317.228,156.492,19.31,14.0994,3.084,4.0379,0.2772,0.07459,6.9381,1

