Name,MW,Volume,SA,%_hydro,log_P,HLB,H_acc,H_donor,H_3d,CNS+/-
mefloquine,378.317,191.919,24.15,21.2789,2.7836,4.4448,1.1732,0.45315,14.5181,-1
melphalan,305.2034,157.265,20.71,63.6075,0.583,14.617,1.2779,0.78124,9.84388,-1
mepenzolatebromide,340.4413,219.877,27.99,55.2599,4.1106,10.94,0.6919,0.31679,6.46873,-1
mepiramine,285.388,179.772,22.99,35.9972,2.6689,10.941,0.3829,0.05861,9.77709,-1
mequitazine,322.467,237.082,29.97,6.95848,4.0473,2.4823,0.1129,0.0448,6.08535,-1
mestranol,310.435,231.952,29.91,14.2508,4.31,3.6741,0.5609,0.47048,10.1894,-1
methantheline,340.4413,218.495,27.75,66.9543,4.808,13.881,0.3565,0.04273,6.40151,-1
methotrexate,454.4444,247.989,31.56,73.1409,-3.3257,15.901,3.3561,1.8794,15.2169,-1
Methyclothiazide,360.23,186.755,24.84,99.1304,-0.3276,19.944,1.4517,0.88143,15.4832,-1
methyldopa,211.217,162.312,23.23,64.6741,-0.871,14.687,1.8383,1.31424,17.5827,-1
Methylprednisolone,374.476,256.509,33.83,31.7029,-0.8818,7.1075,1.65,0.76379,14.9409,-1
Miconazole,416.133,269.993,35.69,91.5355,5.8166,19.132,0.3356,0.08754,7.20945,-1
minocycline,457.482,273.01,35.27,58.9386,-6.0242,14.437,2.9182,1.60348,18.7531,-1
nandrolone,274.402,204.73,27.12,13.9257,3.58,3.2811,0.5773,0.23138,10.856,-1
neodicoumarol,408.3636,251.939,31.22,57.5524,3.403,12.986,1.4657,0.5862,11.0684,-1
Nicotinyl_Alcohol,109.127,64.5981,8.343,41.891,-0.373,10.087,0.5525,0.3082,15.1963,-1
norethindrone,298.424,218.819,28.55,12.8373,2.87,3.017,0.7019,0.45994,11.0255,-1
norfenefrine,153.18,122.17,17.23,57.3852,-0.2074,11.632,1.2516,0.91814,19.1952,-1
nylidrin,299.412,203.422,26.21,24.6265,3.3946,5.8166,1.0465,0.75063,12.427,-1
Oxandrolone,306.444,205.919,26.54,15.8318,4.193,3.9822,0.6523,0.22571,9.43654,-1
Oxaprozin,293.321,187.077,22.96,33.0289,3.448,7.7098,0.7603,0.32959,8.15289,-1
oxytetracycline,460.44,247.031,31.35,70.8926,-10.184,16.822,3.583,2.09517,22.5053,-1
papaverine,339.39,308.184,45.45,40.1976,2.752,10.259,0.5563,0.05124,9.33387,-1
penicillin_G,334.389,194.184,24.78,53.4015,-2.4358,13.469,1.4847,0.60827,9.24474,-1
phenacetin,179.218,103.122,13.44,37.2465,1.609,11.948,0.5897,0.28394,8.82604,-1
phenazopyridine,213.2414,160.982,21.34,64.826,-0.8185,13.8,1.3528,1.07707,14.26,-1
pheniramine,240.347,199.753,26.92,17.2961,2.605,5.3295,0.2532,0.06294,6.03587,-1
Phenolphthalein,318.328,171.447,19.83,31.753,3.789,7.9206,0.9816,0.60766,14.8069,-1
phenoxybenzamine,303.831,173.253,21.72,38.0598,4.3146,9.5171,0.2513,0.05553,5.96358,-1
Phenylbutazone,308.379,178.593,21.82,23.7635,0.995,7.8523,0.461,0.05572,6.51322,-1
pirbuterol,240.302,186.505,26.59,68.5973,0.1066,15.079,1.6078,0.97873,17.2623,-1
Polythiazide,439.87,199.357,25.89,79.0971,0.0008,16.179,1.7154,0.88035,16.3174,-1
prazosin,383.406,229.603,28.81,84.1259,-0.0053,18.848,1.4721,0.54714,12.1142,-1
prednisolone,360.449,251.119,33.37,33.2564,-1.4008,7.3841,1.65,0.76387,15.4378,-1
prednisone,358.433,242.872,31.93,32.9522,-1.8628,7.3694,1.5105,0.53829,13.8354,-1
probenecid,285.357,157.535,20.76,62.7364,3.136,15.644,0.9655,0.29972,11.0199,-1
progesterone,314.467,204.948,25.9,11.2853,4.335,2.799,0.4368,0.00495,6.63421,-1
propranolol,259.347,151.092,18.97,36.436,2.4338,8.7231,0.7291,0.436,9.59265,-1
proscillaridin,530.657,361.003,47.18,39.9123,4.7306,9.24,1.944,0.92952,11.8398,-1
puromycin,471.515,289.645,37.44,67.6296,-1.2838,15.792,2.5964,1.25215,14.2959,-1
quinidine,324.422,186.816,22.61,28.6244,2.3116,9.0071,0.8617,0.31523,11.2767,-1
ribavarin,244.207,120.71,15.8,100,-2.9006,20,2.2422,1.22236,18.989,-1
rifampin,822.951,489.992,63.58,59.186,1.0672,14.691,3.4197,1.56462,15.7408,-1
salicylicacid,138.123,71.5378,9.124,55.8614,1.218,12.459,0.8654,0.56709,17.073,-1
scopolamine,318.3919,191.136,24.08,75.3614,1.4188,15.157,0.7675,0.25473,10.0616,-1
Spironolactone,416.574,257.6,32.58,28.0484,4.4606,7.4952,0.7958,0.00502,7.31896,-1
Stanozolol,328.497,223.69,28.12,15.573,5.23,3.5336,0.6409,0.52238,9.58619,-1
sulfasalazine,398.392,213.513,26.26,84.9605,-2.9837,18.288,1.477,0.93785,15.0043,-1
Terconazole,532.469,304.611,37.99,68.1939,6.5688,16.198,0.9041,0.09305,6.72487,-1
testolactone,300.3968,205.906,26.67,19.9009,3.433,5.5947,0.5553,0.01389,7.52859,-1
testosterone,288.429,181.713,22.82,13.8033,3.529,3.1216,0.5779,0.23164,10.5197,-1
TetraCycline,444.44,240.953,30.48,64.8744,-7.8772,15.536,3.2504,1.86879,20.94,-1
theophylline,180.166,90.3217,11.35,100,0.2021,20,0.8354,0.27728,10.6627,-1
thioguanine,167.188,77.9088,9.504,94.5837,-0.9021,19.879,1.4832,1.10941,17.3205,-1
tolazamide,311.3982,179.386,23.37,54.1322,4.488,12.858,0.932,0.60188,10.0246,-1
tolbutamide,270.3458,148.793,19.6,50.1809,4.997,12.736,0.9391,0.58071,10.4155,-1
Triamcinolone,394.439,263.878,35.27,39.1234,-3.0376,8.2703,2.1255,0.99188,16.1291,-1
Triamterene,253.266,134.617,16.05,65.5448,-1.0061,13.911,2.2953,1.58537,17.507,-1
Trichlormethiazide,380.648,186.84,24.75,99.1272,-0.7306,19.947,1.417,1.19716,16.4578,-1
valinomycin,1111.33,705.075,97.18,49.8064,0.4756,14.155,4.9882,1.50676,8.46004,-1
verapamil,454.608,284.776,37.21,27.0892,4.186,8.8036,0.6603,0.03466,8.34602,-1
warfarin,308.333,167.236,19.9,31.5172,3.14,8.112,0.7801,0.32007,9.33301,-1
yohimbine,354.448,198.626,23.76,32.0197,1.494,7.962,1.0433,0.50342,11.5456,-1
zidovudine,267.244,151.885,20.12,89.3704,-2.0662,18.875,2.0797,0.50174,13.8477,-1
